glycan_ID,residue,residue_ID,name,anomer,absolute,ring,parent_ID,site,form_name
G09405BO,unassigned,28,NeuNAc,a,D,p,27,3,NeupNAc
G09405BO,unassigned,18,GlcNAc,b,D,p,17,3,GlcpNAc
G09405BO,unassigned,7,GlcNAc,x,D,p,N1,x,GlcpNAc
G09405BO,unassigned,9,Fuc,a,L,p,7,3,Fucp
G09405BO,unassigned,20,Fuc,a,L,p,18,3,Fucp
G09405BO,unassigned,10,Gal,b,D,p,7,4,Galp
G09405BO,unassigned,21,Gal,b,D,p,18,4,Galp
G09635US,unassigned,8,Fuc,a,L,p,N2,x,Fucp
G09775CH,unassigned,11,Man,a,D,p,N4,3|6,Manp
G09775CH,unassigned,9,Man,a,D,p,N4,3|6,Manp
G09775CH,unassigned,10,Man,a,D,p,9,2,Manp
G09839ES,unassigned,12,Man,a,D,p,NC,3|6,Manp
G09839ES,unassigned,6,Man,a,D,p,NC,3|6,Manp
G09839ES,unassigned,7,GlcNAc,b,D,p,6,2,GlcpNAc
G09839ES,unassigned,9,Gal,b,D,p,7,4,Galp
G09839ES,unassigned,10,NeuNAc,a,D,p,9,3,NeupNAc
G10108GZ,unassigned,12,GlcNAc,b,D,p,N1,6,GlcpNAc
G10108GZ,unassigned,14,Gal,b,D,p,12,4,Galp
G10108GZ,unassigned,15,NeuNAc,a,D,p,14,3,NeupNAc
G10189EJ,unassigned,12,GlcNAc,b,D,p,N1,6,GlcpNAc
G10189EJ,unassigned,14,Gal,b,D,p,12,4,Galp
G10189EJ,unassigned,15,NeuNAc,a,D,p,14,3,NeupNAc
G10471FG,unassigned,7,Man,x,D,p,N1,x,Manp
G10609HO,unassigned,6,Man,a,D,p,NC,3|6,Manp
G10609HO,unassigned,7,Man,x,D,p,6,x,Manp
G10609HO,unassigned,8,Man,a,D,p,NC,3|6,Manp
G10609HO,unassigned,9,Man,x,D,p,8,x,Manp
G10609HO,unassigned,10,Man,x,D,p,8,x,Manp
G10666VQ,unassigned,15,Gal,b,D,p,N6,4,Galp
G10666VQ,unassigned,10,Gal,b,D,p,N3,4,Galp
G10820KD,unassigned,8,Fuc,a,L,p,N2,x,Fucp
G10845BX,unassigned,12,GlcNAc,b,D,p,N1,6,GlcpNAc
G10845BX,unassigned,14,Gal,b,D,p,12,4,Galp
G10845BX,unassigned,15,NeuNAc,a,D,p,14,3,NeupNAc
G10845BX,unassigned,26,NeuNAc,a,D,p,N32,6,NeupNAc
G10944ZI,unassigned,11,GlcNAc,b,D,p,7,6,GlcpNAc
G10944ZI,unassigned,13,Gal,b,D,p,11,4,Galp
G10944ZI,unassigned,14,Man,a,D,p,NC,x,Manp
G10944ZI,unassigned,15,GlcNAc,b,D,p,14,2,GlcpNAc
G10944ZI,unassigned,17,Gal,b,D,p,15,4,Galp
G10944ZI,unassigned,18,GlcNAc,b,D,p,14,4,GlcpNAc
G10944ZI,unassigned,2,Fuc,x,L,p,NA,x,Fucp
G10944ZI,unassigned,7,Man,a,D,p,NC,x,Manp
G10944ZI,unassigned,8,GlcNAc,b,D,p,7,2,GlcpNAc
